"","Campaign.id","Date","Click.count"
"1",3001,"2018-08-29",22231
"2",3001,"2018-08-30",19739
"3",3001,"2018-08-31",15102
"4",3001,"2018-09-01",127
"5",3001,"2018-09-02",80
"6",3001,"2018-09-03",75
"7",3001,"2018-09-04",1006
"8",3001,"2018-09-05",1737
"9",3001,"2018-09-06",1150
"10",3001,"2018-09-07",1117
"11",3001,"2018-09-08",1267
"12",3001,"2018-09-09",1293
"13",3001,"2018-09-10",1385
"14",3001,"2018-09-11",1427
"15",3001,"2018-09-12",1291
"16",3001,"2018-09-13",1320
"17",3001,"2018-09-14",1771
"18",3001,"2018-09-15",1571
"19",3001,"2018-09-16",1502
"20",3001,"2018-09-17",6638
"21",3001,"2018-09-18",2979
"22",3001,"2018-09-19",4086
"23",3001,"2018-09-20",4737
"24",3001,"2018-09-21",6942
"25",3001,"2018-09-22",12173
"26",3001,"2018-09-23",23619
"27",3001,"2018-09-24",11744
"28",3001,"2018-09-25",14811
"29",3001,"2018-09-26",15472
"30",3001,"2018-09-27",2423
"31",3001,"2018-09-28",26226
"32",3001,"2018-09-29",33686
"33",3001,"2018-09-30",709
"34",3001,"2018-10-01",1322
"35",3001,"2018-10-02",770
"36",3001,"2018-10-03",1111
"37",3001,"2018-10-04",819
"38",3001,"2018-10-05",2380
"39",3001,"2018-10-06",1822
"40",3001,"2018-10-07",2812
"41",3001,"2018-10-08",1987
"42",3001,"2018-10-09",2145
"43",3001,"2018-10-10",1927
"44",3001,"2018-10-11",2260
"45",3001,"2018-10-12",1748
"46",3001,"2018-10-13",2281
"47",3001,"2018-10-14",1894
"48",3001,"2018-10-15",1927
"49",3001,"2018-10-16",1939
"50",3001,"2018-10-17",1796
"51",3001,"2018-10-18",1909
"52",3001,"2018-10-19",1775
"53",3001,"2018-10-20",2119
"54",3001,"2018-10-21",1947
"55",3001,"2018-10-22",2022
"56",3001,"2018-10-23",1846
"57",3001,"2018-10-24",1246
"58",3001,"2018-10-25",790
"59",3001,"2018-10-26",740
"60",3001,"2018-10-27",768
"61",3001,"2018-10-28",711
"62",3001,"2018-10-29",208
"63",3001,"2018-10-30",47
"64",3001,"2018-10-31",342
"65",3001,"2018-11-01",1183
"66",3001,"2018-11-02",1210
"67",3001,"2018-11-03",1151
"68",3001,"2018-11-04",1036
"69",3001,"2018-11-05",1081
"70",3001,"2018-11-06",677
"71",3001,"2018-11-07",870
"72",3001,"2018-11-08",706
"73",3001,"2018-11-09",808
"74",3001,"2018-11-10",791
"75",3001,"2018-11-11",627
"76",3001,"2018-11-12",894
"77",3001,"2018-11-13",714
"78",3001,"2018-11-14",729
"79",3001,"2018-11-15",668
"80",3001,"2018-11-16",771
"81",3001,"2018-11-17",867
"82",3001,"2018-11-18",697
"83",3001,"2018-11-19",896
"84",3001,"2018-11-20",575
"85",3001,"2018-11-21",859
"86",3001,"2018-11-22",632
"87",3001,"2018-11-23",897
"88",3001,"2018-11-24",707
"89",3001,"2018-11-25",699
"90",3001,"2018-11-26",734
"91",3001,"2018-11-27",741
"92",3001,"2018-11-28",220
"93",3001,"2018-11-29",35
"94",3001,"2018-11-30",24
"95",3001,"2018-12-01",17
"96",3001,"2018-12-02",17
"97",3001,"2018-12-03",1027
"98",3001,"2018-12-04",549
"99",3001,"2018-12-05",638
"100",3001,"2018-12-06",593
"101",3001,"2018-12-07",863
"102",3001,"2018-12-08",757
"103",3001,"2018-12-09",565
"104",3001,"2018-12-10",709
"105",3001,"2018-12-11",707
"106",3001,"2018-12-12",611
"107",3001,"2018-12-13",613
"108",3001,"2018-12-14",763
"109",3001,"2018-12-15",711
"110",3001,"2018-12-16",767
"111",3001,"2018-12-17",763
"112",3001,"2018-12-18",757
"113",3001,"2018-12-19",729
"114",3001,"2018-12-20",771
"115",3001,"2018-12-21",776
"116",3001,"2018-12-22",779
"117",3001,"2018-12-23",728
"118",3001,"2018-12-24",821
"119",3001,"2018-12-25",789
"120",3001,"2018-12-26",793
"121",3001,"2018-12-27",702
"122",3001,"2018-12-28",730
"123",3001,"2018-12-29",753
"124",3001,"2018-12-30",26
"125",3001,"2018-12-31",21
"126",3001,"2019-01-01",17
"127",3001,"2019-01-02",15
"128",3001,"2019-01-03",11
"129",3001,"2019-01-04",1808
"130",3001,"2019-01-05",606
"131",3001,"2019-01-06",1571
"132",3001,"2019-01-07",1043
"133",3001,"2019-01-08",1372
"134",3001,"2019-01-09",1005
"135",3001,"2019-01-10",3100
"136",3001,"2019-01-11",2709
"137",3001,"2019-01-12",2925
"138",3001,"2019-01-13",3363
"139",3001,"2019-01-14",1417
"140",3001,"2019-01-15",1478
"141",3001,"2019-01-16",1405
"142",3001,"2019-01-17",1748
"143",3001,"2019-01-18",1598
"144",3001,"2019-01-19",1717
"145",3001,"2019-01-20",3304
"146",3001,"2019-01-21",737
"147",3001,"2019-01-22",397
"148",3001,"2019-01-23",5
"149",3001,"2019-01-24",5
"150",3001,"2019-01-25",473
"151",3001,"2019-01-26",4431
"152",3001,"2019-01-27",3903
"153",3001,"2019-01-28",4104
"154",3001,"2019-01-29",12547
"155",3001,"2019-01-30",4479
"156",3001,"2019-01-31",175
"157",8801,"2018-08-29",500
"158",8801,"2018-08-30",2306
"159",8801,"2018-08-31",1780
"160",8801,"2018-09-01",371
"161",8801,"2018-09-02",384
"162",8801,"2018-09-03",376
"163",8801,"2018-09-04",409
"164",8801,"2018-09-05",405
"165",8801,"2018-09-06",373
"166",8801,"2018-09-07",350
"167",8801,"2018-09-08",333
"168",8801,"2018-09-09",326
"169",8801,"2018-09-10",330
"170",8801,"2018-09-11",356
"171",8801,"2018-09-12",406
"172",8801,"2018-09-13",406
"173",8801,"2018-09-14",431
"174",8801,"2018-09-15",391
"175",8801,"2018-09-16",358
"176",8801,"2018-09-17",449
"177",8801,"2018-09-18",324
"178",8801,"2018-09-19",336
"179",8801,"2018-09-20",857
"180",8801,"2018-09-21",858
"181",8801,"2018-09-22",724
"182",8801,"2018-09-23",795
"183",8801,"2018-09-24",796
"184",8801,"2018-09-25",744
"185",8801,"2018-09-26",696
"186",8801,"2018-09-27",748
"187",8801,"2018-09-28",846
"188",8801,"2018-09-29",859
"189",8801,"2018-09-30",1127
"190",8801,"2018-10-01",1212
"191",8801,"2018-10-02",1030
"192",8801,"2018-10-03",1283
"193",8801,"2018-10-04",1959
"194",8801,"2018-10-05",2187
"195",8801,"2018-10-06",2093
"196",8801,"2018-10-07",2349
"197",8801,"2018-10-08",1849
"198",8801,"2018-10-09",1881
"199",8801,"2018-10-10",2258
"200",8801,"2018-10-11",1860
"201",8801,"2018-10-12",1822
"202",8801,"2018-10-13",1548
"203",8801,"2018-10-14",1171
"204",8801,"2018-10-15",953
"205",8801,"2018-10-16",3268
"206",8801,"2018-10-17",2890
"207",8801,"2018-10-18",3656
"208",8801,"2018-10-19",3169
"209",8801,"2018-10-20",3185
"210",8801,"2018-10-21",3200
"211",8801,"2018-10-22",3061
"212",8801,"2018-10-23",2941
"213",8801,"2018-10-24",3242
"214",8801,"2018-10-25",3042
"215",8801,"2018-10-26",3373
"216",8801,"2018-10-27",2283
"217",8801,"2018-10-28",2171
"218",8801,"2018-10-29",2322
"219",8801,"2018-10-30",2108
"220",8801,"2018-10-31",2669
"221",8801,"2018-11-01",732
"222",8801,"2018-11-02",768
"223",8801,"2018-11-03",838
"224",8801,"2018-11-04",588
"225",8801,"2018-11-05",779
"226",8801,"2018-11-06",1043
"227",8801,"2018-11-07",1930
"228",8801,"2018-11-08",3003
"229",8801,"2018-11-09",3045
"230",8801,"2018-11-10",4137
"231",8801,"2018-11-11",3821
"232",8801,"2018-11-12",3652
"233",8801,"2018-11-13",3472
"234",8801,"2018-11-14",3818
"235",8801,"2018-11-15",3906
"236",8801,"2018-11-16",3039
"237",8801,"2018-11-17",2132
"238",8801,"2018-11-18",3362
"239",8801,"2018-11-19",3489
"240",8801,"2018-11-20",4169
"241",8801,"2018-11-21",2950
"242",8801,"2018-11-22",4220
"243",8801,"2018-11-23",3160
"244",8801,"2018-11-24",3740
"245",8801,"2018-11-25",3419
"246",8801,"2018-11-26",4210
"247",8801,"2018-11-27",5407
"248",8801,"2018-11-28",4486
"249",8801,"2018-11-29",7782
"250",8801,"2018-11-30",449
"251",8801,"2018-12-01",202
"252",8801,"2018-12-02",133
"253",8801,"2018-12-03",112
"254",8801,"2018-12-04",92
"255",8801,"2018-12-05",107
"256",8801,"2018-12-06",78
"257",8801,"2018-12-07",76
"258",8801,"2018-12-08",83
"259",8801,"2018-12-09",62
"260",8801,"2018-12-10",47
"261",8801,"2018-12-11",69
"262",8801,"2018-12-12",46
"263",8801,"2018-12-13",53
"264",8801,"2018-12-14",39
"265",8801,"2018-12-15",33
"266",8801,"2018-12-16",36
"267",8801,"2018-12-17",35
"268",8801,"2018-12-18",32
"269",8801,"2018-12-19",31
"270",8801,"2018-12-20",28
"271",8801,"2018-12-21",36
"272",8801,"2018-12-22",29
"273",8801,"2018-12-23",23
"274",8801,"2018-12-24",21
"275",8801,"2018-12-25",26
"276",8801,"2018-12-26",22
"277",8801,"2018-12-27",12
"278",8801,"2018-12-28",17
"279",8801,"2018-12-29",23
"280",8801,"2018-12-30",17
"281",8801,"2018-12-31",7
"282",8801,"2019-01-02",15
"283",8801,"2019-01-03",23
"284",8801,"2019-01-04",273
"285",8801,"2019-01-05",245
"286",8801,"2019-01-06",854
"287",8801,"2019-01-07",856
"288",8801,"2019-01-08",748
"289",8801,"2019-01-09",851
"290",8801,"2019-01-10",848
"291",8801,"2019-01-11",419
"292",8801,"2019-01-12",448
"293",8801,"2019-01-13",436
"294",8801,"2019-01-14",523
"295",8801,"2019-01-15",4188
"296",8801,"2019-01-16",4181
"297",8801,"2019-01-17",4511
"298",8801,"2019-01-18",4530
"299",8801,"2019-01-19",4771
"300",8801,"2019-01-20",22886
"301",8801,"2019-01-21",27806
"302",8801,"2019-01-22",24620
"303",8801,"2019-01-23",3
"304",8801,"2019-01-24",2
"305",8801,"2019-01-25",139
"306",8801,"2019-01-26",918
"307",8801,"2019-01-27",836
"308",8801,"2019-01-28",677
"309",8801,"2019-01-29",762
"310",8801,"2019-01-30",552
"311",8801,"2019-01-31",194
"312",11801,"2018-08-29",6172
"313",11801,"2018-08-30",626
"314",11801,"2018-08-31",408
"315",11801,"2018-09-01",30
"316",11801,"2018-09-02",16
"317",11801,"2018-09-03",13
"318",11801,"2018-09-04",11
"319",11801,"2018-09-05",12
"320",11801,"2018-09-06",14
"321",11801,"2018-09-07",13
"322",11801,"2018-09-08",4
